x,y,ux,uy,p,cs,f
0.00976562,0.00976562,1.00016,-3.97084e-05,0.998596,1,0
0.00976562,0.0292969,0.999959,-9.31149e-05,0.998599,1,0
0.0292969,0.00976562,1.00042,-4.00789e-05,0.9962,1,0
0.0292969,0.0292969,1.00023,-9.34147e-05,0.996204,1,0
0.00976562,0.0488281,0.999734,-0.000132146,0.998598,1,0
0.00976562,0.0683594,0.99943,-0.000178489,0.998599,1,0
0.0292969,0.0488281,1,-0.000132147,0.996203,1,0
0.0292969,0.0683594,0.999698,-0.000178557,0.996204,1,0
0.0488281,0.00976562,1.00041,-4.02422e-05,0.994334,1,0
0.0488281,0.0292969,1.00022,-9.33619e-05,0.994337,1,0
0.0683594,0.00976562,1.00039,-4.02565e-05,0.992448,1,0
0.0683594,0.0292969,1.0002,-9.30111e-05,0.992451,1,0
0.0488281,0.0488281,0.999992,-0.000131793,0.994336,1,0
0.0488281,0.0683594,0.99969,-0.000178129,0.994336,1,0
0.0683594,0.0488281,0.999974,-0.000131075,0.992449,1,0
0.0683594,0.0683594,0.999673,-0.000177197,0.992449,1,0
0.00976562,0.0878906,0.99902,-0.000222792,0.998599,1,0
0.00976562,0.107422,0.998449,-0.000269084,0.9986,1,0
0.0292969,0.0878906,0.999289,-0.000222819,0.996205,1,0
0.0292969,0.107422,0.998719,-0.000269164,0.996205,1,0
0.00976562,0.126953,0.997644,-0.000315954,0.998601,1,0
0.00976562,0.146484,0.996497,-0.00036414,0.998602,1,0
0.0292969,0.126953,0.997914,-0.000316109,0.996206,1,0
0.0292969,0.146484,0.996768,-0.000364436,0.996207,1,0
0.0488281,0.0878906,0.999282,-0.000222213,0.994336,1,0
0.0488281,0.107422,0.998713,-0.00026849,0.994336,1,0
0.0683594,0.0878906,0.999266,-0.000220966,0.992449,1,0
0.0683594,0.107422,0.998698,-0.000267021,0.992448,1,0
0.0488281,0.126953,0.99791,-0.000315395,0.994336,1,0
0.0488281,0.146484,0.996765,-0.000363766,0.994336,1,0
0.0683594,0.126953,0.997896,-0.000313705,0.992447,1,0
0.0683594,0.146484,0.996753,-0.000361911,0.992446,1,0
0.0878906,0.00976562,1.00044,-4.02253e-05,0.990442,1,0
0.0878906,0.0292969,1.00025,-9.25124e-05,0.990445,1,0
0.107422,0.00976562,1.00049,-4.01322e-05,0.988431,1,0
0.107422,0.0292969,1.00031,-9.18532e-05,0.988434,1,0
0.0878906,0.0488281,1.00002,-0.000130104,0.990443,1,0
0.0878906,0.0683594,0.999724,-0.00017591,0.990443,1,0
0.107422,0.0488281,1.00008,-0.000128891,0.988432,1,0
0.107422,0.0683594,0.999782,-0.000174284,0.988431,1,0
0.126953,0.00976562,1.00053,-3.99428e-05,0.986448,1,0
0.126953,0.0292969,1.00035,-9.09864e-05,0.98645,1,0
0.146484,0.00976562,1.00057,-3.96427e-05,0.984468,1,0
0.146484,0.0292969,1.00039,-8.98967e-05,0.984471,1,0
0.126953,0.0488281,1.00012,-0.000127403,0.986448,1,0
0.126953,0.0683594,0.999825,-0.000172284,0.986447,1,0
0.146484,0.0488281,1.00016,-0.000125632,0.984468,1,0
0.146484,0.0683594,0.999864,-0.000169902,0.984467,1,0
0.0878906,0.0878906,0.999317,-0.000219255,0.990442,1,0
0.0878906,0.107422,0.99875,-0.000264967,0.990441,1,0
0.107422,0.0878906,0.999376,-0.000217109,0.98843,1,0
0.107422,0.107422,0.998811,-0.000262372,0.988428,1,0
0.0878906,0.126953,0.99795,-0.000311283,0.990439,1,0
0.0878906,0.146484,0.996808,-0.000359145,0.990437,1,0
0.107422,0.126953,0.998011,-0.000308197,0.988426,1,0
0.107422,0.146484,0.996871,-0.00035558,0.988423,1,0
0.126953,0.0878906,0.99942,-0.000214489,0.986445,1,0
0.126953,0.107422,0.998855,-0.000259194,0.986443,1,0
0.146484,0.0878906,0.99946,-0.000211394,0.984464,1,0
0.146484,0.107422,0.998897,-0.000255432,0.984462,1,0
0.126953,0.126953,0.998057,-0.000304409,0.98644,1,0
0.126953,0.146484,0.996919,-0.000351179,0.986437,1,0
0.146484,0.126953,0.9981,-0.000299915,0.984458,1,0
0.146484,0.146484,0.996962,-0.000345936,0.984454,1,0
0.00976562,0.166016,0.994858,-0.000413462,0.998604,1,0
0.00976562,0.185547,0.992514,-0.000464033,0.998605,1,0
0.0292969,0.166016,0.99513,-0.000413975,0.996209,1,0
0.0292969,0.185547,0.992787,-0.000464874,0.996211,1,0
0.00976562,0.205078,0.989173,-0.000515746,0.998607,1,0
0.00976562,0.224609,0.984438,-0.000568446,0.998609,1,0
0.0292969,0.205078,0.989446,-0.000517062,0.996213,1,0
0.0292969,0.224609,0.984711,-0.000570438,0.996216,1,0
0.0488281,0.166016,0.995129,-0.000413444,0.994336,1,0
0.0488281,0.185547,0.992787,-0.000464616,0.994336,1,0
0.0683594,0.166016,0.995118,-0.000411472,0.992444,1,0
0.0683594,0.185547,0.992778,-0.000462598,0.992443,1,0
0.0488281,0.205078,0.989448,-0.000517253,0.994337,1,0
0.0488281,0.224609,0.984714,-0.000571313,0.994338,1,0
